,y [É m],0.6,1.2,1.8,2.4,3,3.6,4.2,4.8,5.4,6,6.6,7.2,7.8,8.4,9,9.6,10.2,10.8,11.4,12,12.6,13.2,13.8,14.4,15,15.6,16.2,16.8,17.4,18,18.6,19.2,19.8,20.4,21,21.6,22.2,22.8,23.4,24,24.6,25.2,25.8,26.4,27,27.6,28.2,28.8,29.4,30,30.6,31.2,31.8,32.4,33,33.6,34.2,34.8,35.4,36,36.6,37.2,37.8,38.4,39,39.6,40.2,40.8,41.4,42,42.6,43.2
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.6,,2573.525641,2251.375641,1341.725641,1110.975641,925.925641,848.875641,731.275641,779.925641,825.325641,1661.375641,2586.825641,2082.425641,650.425641,605.525641,650.325641,613.775641,668.425641,450.125641,471.425641,595.775641,546.825641,552.475641,473.375641,493.625641,514.175641,521.225641,490.975641,571.675641,521.375641,541.675641,549.475641,561.775641,628.175641,829.725641,736.925641,595.075641,586.625641,584.725641,568.375641,605.325641,579.275641,616.125641,528.525641,560.975641,517.175641,474.225641,686.775641,597.025641,494.025641,560.525641,537.675641,699.825641,1911.225641,2375.775641,2453.425641,2193.725641,845.225641,542.525641,584.175641,501.175641,619.875641,580.025641,711.325641,815.625641,851.225641,854.725641,1087.225641,1766.175641,783.1538462,959.4538462,1341.903846,1738.353846
60.8,,2670.896154,2251.596154,1337.746154,1076.446154,878.4461538,751.3961538,723.9461538,671.6461538,808.7461538,2301.646154,2679.096154,1518.746154,625.5461538,628.8461538,600.7961538,648.6461538,653.2961538,482.7961538,474.3961538,622.4461538,545.5961538,501.0961538,487.1961538,408.4961538,475.4461538,439.9961538,466.7461538,515.1961538,555.5961538,515.1461538,588.1461538,532.7961538,551.9461538,757.3461538,625.2961538,538.6461538,574.8961538,597.2961538,549.9461538,515.7961538,550.3961538,536.7461538,575.7461538,546.9461538,474.8461538,476.6961538,611.8461538,628.6461538,563.1461538,521.0961538,572.1961538,634.4961538,2212.396154,2490.896154,2580.396154,2530.596154,1121.846154,597.4461538,503.1461538,486.1461538,482.5961538,537.9461538,609.2461538,731.2461538,819.9461538,861.9461538,1055.896154,1618.446154,1264.85,1589.5,2113.45,2591.95
68,,2688.185897,2223.585897,1264.285897,832.7858974,766.1858974,666.4858974,643.8858974,1091.485897,1846.535897,2693.035897,2412.785897,903.3858974,566.4858974,555.2358974,625.2858974,679.8858974,645.1858974,391.3858974,466.9358974,490.0358974,554.7358974,478.4358974,466.8858974,496.6858974,510.4858974,470.5858974,415.9858974,453.9358974,464.4858974,437.9358974,494.5358974,533.2358974,553.5858974,677.4858974,577.5358974,511.9358974,444.7358974,561.8358974,511.3858974,454.3358974,549.0858974,477.7858974,511.7358974,481.0358974,505.2358974,464.6858974,611.2858974,539.4858974,536.3358974,572.0358974,485.8858974,599.9858974,2384.535897,2539.585897,2520.885897,2478.185897,1069.635897,502.2358974,452.1858974,475.9858974,445.8858974,494.9858974,575.3358974,643.9858974,720.1858974,717.7858974,901.8858974,1550.685897,1251.392308,1497.742308,1917.142308,2305.642308
75.2,,2696.905128,2232.705128,1148.355128,867.9551282,721.4551282,645.6051282,623.5051282,930.8551282,1657.355128,2446.805128,2479.405128,1067.505128,513.3551282,488.3051282,556.9551282,626.1051282,651.8551282,401.9051282,366.2051282,466.9551282,457.4551282,432.5051282,379.8051282,380.1051282,404.5051282,389.7551282,400.8551282,412.5551282,469.4551282,434.7551282,454.8051282,487.0551282,522.7051282,687.1551282,562.3051282,455.3551282,515.1551282,514.2551282,447.8551282,382.0051282,397.0051282,435.8551282,409.9551282,511.7051282,443.9051282,321.8051282,580.1551282,498.2051282,457.0551282,462.1551282,413.8551282,584.4551282,2058.955128,2466.755128,2428.305128,2248.955128,802.7551282,434.6051282,433.4551282,437.4051282,400.3551282,416.0051282,523.8051282,625.0551282,719.4551282,764.8551282,929.0551282,1510.705128,1318.907692,1745.757692,1953.157692,2267.407692
82.4,,2745.274359,2125.274359,1104.324359,785.674359,676.374359,567.924359,537.174359,521.474359,543.224359,797.624359,2576.524359,2583.824359,1280.224359,504.874359,574.574359,618.824359,566.824359,285.824359,368.024359,432.274359,401.974359,422.324359,381.674359,328.774359,369.724359,358.924359,398.574359,441.974359,407.624359,407.924359,428.074359,477.074359,442.874359,570.974359,553.524359,348.224359,391.974359,432.074359,394.524359,399.824359,399.224359,369.524359,475.724359,402.124359,465.174359,352.524359,495.274359,464.524359,429.824359,438.724359,400.974359,512.074359,1433.774359,2303.124359,2408.874359,1831.624359,706.124359,392.074359,421.824359,354.974359,331.524359,382.324359,459.224359,543.124359,655.974359,645.874359,879.674359,1388.524359,1464.238462,1742.188462,2127.238462,2526.988462
89.6,,2791.8,2070.65,1027.85,756.55,649,506.15,553.8,530.6,476.95,569.75,2273.7,2818.8,2002.35,706.25,564.05,667.3,525.95,306.15,393.55,392.75,380.05,390.8,416.95,350.95,290.65,340.35,419.25,324.3,346.65,383.65,374.55,374.95,411.75,584.7,477.65,360.5,378.95,388.4,407.85,385.7,392.5,418.3,383.45,415.6,345.5,355.05,510.8,394.3,424.15,425.45,382.75,399.5,1582.7,2302.05,2273.35,1656.65,557.25,401.15,398.75,384.55,325.35,372.4,435.75,534.7,628.85,663.8,797.8,1387.45,1188.396154,1444.246154,1864.096154,2113.196154
96.8,,2816.991026,2094.641026,983.3410256,785.5910256,656.5910256,626.6910256,585.4410256,565.8410256,523.4410256,1225.591026,2700.691026,2253.791026,923.6410256,451.3910256,561.4910256,660.3410256,522.1910256,320.1410256,398.1410256,468.4910256,361.5910256,398.0410256,426.9410256,400.1410256,378.1910256,381.4910256,454.1410256,407.4410256,487.1910256,389.2910256,410.4410256,447.8410256,450.7910256,616.6910256,563.2910256,408.3910256,470.6910256,424.6910256,416.2910256,432.2910256,383.8910256,456.6910256,500.7410256,463.4910256,415.5410256,444.1410256,549.2910256,453.4910256,447.2910256,441.0410256,416.3410256,569.8910256,1839.741026,2284.141026,2245.241026,2071.491026,725.9410256,413.4910256,438.4910256,416.9910256,442.6410256,413.5910256,455.0910256,586.5410256,666.7410256,710.8410256,836.9910256,1399.991026,1739.838462,2126.538462,2429.238462,2654.638462
104,,2872.529487,2064.179487,980.2794872,738.5294872,590.4294872,503.0294872,504.9794872,455.6794872,503.2794872,2292.879487,2898.179487,1312.479487,432.0794872,376.9294872,575.7794872,637.1294872,471.5294872,296.1794872,332.8294872,332.4794872,357.8294872,378.8794872,305.3794872,316.4794872,257.8294872,317.2294872,409.6794872,333.7794872,322.7794872,339.4794872,380.6794872,348.0794872,385.7794872,566.8794872,455.6294872,344.0794872,363.0294872,378.0794872,402.2794872,400.5794872,395.5794872,347.7294872,346.9794872,395.3794872,417.6294872,378.0794872,433.2294872,426.8794872,404.1794872,385.9294872,391.9294872,513.9294872,1733.179487,2059.329487,2072.479487,1686.579487,663.4294872,411.5794872,354.4294872,385.2794872,364.3794872,377.4794872,441.9294872,602.7794872,608.2294872,658.0794872,839.9794872,1337.479487,1636.453846,1994.053846,2156.003846,2429.303846
111.2,,2816.808974,2064.358974,972.0589744,680.6589744,558.9089744,485.6589744,522.9589744,508.7089744,473.3589744,1369.208974,2715.558974,2093.608974,943.3089744,461.1589744,535.6589744,741.7089744,537.2589744,280.9089744,323.9089744,445.1089744,381.5589744,338.1589744,351.9089744,294.4589744,382.7089744,362.4589744,352.4089744,369.9089744,367.9589744,444.7589744,416.7589744,394.1089744,468.0589744,540.7089744,451.9589744,388.4589744,405.4089744,447.6589744,398.2089744,420.0089744,362.3089744,426.3089744,457.9589744,395.4589744,491.4089744,424.2089744,493.7589744,451.5089744,429.9589744,339.8589744,429.7589744,438.6089744,1076.808974,2140.058974,1891.058974,938.6089744,489.7589744,384.8589744,318.4589744,413.1089744,392.9589744,429.4089744,444.4589744,545.9089744,596.7589744,650.5589744,776.3089744,1349.108974,1450.407692,1833.407692,2059.307692,2258.257692
118.4,,2778.574359,2033.674359,892.874359,670.274359,533.474359,493.524359,564.424359,532.924359,925.474359,1709.974359,2678.224359,2859.924359,1288.974359,502.924359,521.974359,697.524359,574.824359,316.524359,357.674359,385.674359,367.274359,333.224359,327.774359,304.574359,317.124359,315.424359,369.924359,366.474359,362.424359,364.024359,372.624359,377.274359,382.724359,576.574359,420.074359,396.724359,406.224359,453.974359,418.624359,365.874359,374.174359,386.424359,356.424359,406.074359,426.674359,422.624359,451.174359,455.524359,409.824359,374.024359,379.424359,508.874359,1811.774359,1990.124359,1999.624359,1727.024359,634.124359,371.424359,356.224359,347.474359,334.774359,421.874359,432.674359,497.274359,558.774359,629.524359,778.224359,1317.324359,1846.3,2238.75,2470.65,2612.85
